route_id,source_name,source_description,display_name,display_summary,display_description,garmin_name,distance_miles,origin,gpx_file_name,gpx_url,garmin_url,garmin_embed_url,notes
7798129,Crestwood Starting from Picnic Shelter,"Crestewood, starting at Picnic Shelter at Loose Park",Crestwood Starting from Picnic Shelter,,"Crestewood, starting at Picnic Shelter at Loose Park","Crestwood Starting from Picnic Shelter: Crestewood, Picnic Shelter at Loose",4.6774,loose_park,7798129-Crestwood-Starting-from-Picnic-Shelter.gpx,https://kcfrontrunners.github.io/routes/gpx/7798129-Crestwood-Starting-from-Picnic-Shelter.gpx,https://connect.garmin.com/app/course/439241458,,
7796655,North Johnson County 3,"Travel south on Mission Rd to Reinhardt, then south to Howe. Return north on Reinhardt to Mission Rd, then to 53rd Place, Clark Dr, and Elledge Dr. Proceed to 47th, then back to Reinhardt Dr and return to the mission.",North Johnson County 3,,"Travel south on Mission Rd to Reinhardt, then south to Howe. Return north on Reinhardt to Mission Rd, then to 53rd Place, Clark Dr, and Elledge Dr. Proceed to 47th, then back to Reinhardt Dr and return to the mission.","North Johnson County 3: Travel on Mission, Reinhardt, Howe",5.0314,sunday,7796655-North-Johnson-County-3.gpx,https://kcfrontrunners.github.io/routes/gpx/7796655-North-Johnson-County-3.gpx,https://connect.garmin.com/app/course/439241485,,
7771705,Lawrence - Burroughs Creek Trail,"Lawrence, staring at the Cider Gallery and going on the Burroughs Creek Trail",Lawrence - Burroughs Creek Trail,,"Lawrence, staring at the Cider Gallery and going on the Burroughs Creek Trail","Lawrence - Burroughs Creek Trail: Lawrence, staring at Cider Gallery, going on Burroughs Creek",5.6419,sunday,7771705-Lawrence-Burroughs-Creek-Trail.gpx,https://kcfrontrunners.github.io/routes/gpx/7771705-Lawrence-Burroughs-Creek-Trail.gpx,https://connect.garmin.com/app/course/439241725,,
7749357,Line Creek Trail - Start in Riverside,Start at the Mid-Continent Library Parking Lot at,Line Creek Trail - Start in Riverside,,Start at the Mid-Continent Library Parking Lot at,Line Creek Trail - Start in Riverside: Mid-Continent Library Parking Lot,5.9824,sunday,7749357-Line-Creek-Trail-Start-in-Riverside.gpx,https://kcfrontrunners.github.io/routes/gpx/7749357-Line-Creek-Trail-Start-in-Riverside.gpx,https://connect.garmin.com/app/course/439241750,,
7739549,Parkville MO - NEW TRAIL,English Landing Park & then NEW TRAIL,Parkville MO - New Trail,,English Landing Park & then New Trail,"Parkville MO - New Trail: English Landing Park &, New Trail",5.3381,sunday,7739549-Parkville-MO-NEW-TRAIL.gpx,https://kcfrontrunners.github.io/routes/gpx/7739549-Parkville-MO-NEW-TRAIL.gpx,https://connect.garmin.com/app/course/439241770,,
7730652,Indian Creek Trail In MISSOURI,Starting at 99th,Indian Creek Trail in Missouri,,Starting at 99th,Indian Creek Trail in Missouri: 99th,6.0347,sunday,7730652-Indian-Creek-Trail-In-MISSOURI.gpx,https://kcfrontrunners.github.io/routes/gpx/7730652-Indian-Creek-Trail-In-MISSOURI.gpx,https://connect.garmin.com/app/course/439241883,,
7705366,North Johnson County 2,"Start at Indian Mission then S on Reinhardt Rd and N on Howe back to Reinhardt Rd. Continue north on Reinhardt to 47th St, east to Canterbury St, then south until it ends, then left to Mission Rd and back to the Indian Mission.",North Johnson County 2,,"Start at Indian Mission then S on Reinhardt Rd and N on Howe back to Reinhardt Rd. Continue north on Reinhardt to 47th St, east to Canterbury St, then south until it ends, then left to Mission Rd and back to the Indian Mission.","North Johnson County 2: Indian Mission, on Reinhardt, on Howe",4.6655,sunday,7705366-North-Johnson-County-2.gpx,https://kcfrontrunners.github.io/routes/gpx/7705366-North-Johnson-County-2.gpx,https://connect.garmin.com/app/course/439241904,,
7702857,Mill Creek,"Oak St. N to 39th to Gillham South to Kauffman Lake to Brush Creek west, north to 47th St and back through the Plaza to Mill Creek Park.",Mill Creek,,"Oak St. N to 39th to Gillham South to Kauffman Lake to Brush Creek west, north to 47th St and back through the Plaza to Mill Creek Park.","Mill Creek: Oak, 39th, Gillham",4.9857,mill_creek,7702857-Mill-Creek.gpx,https://kcfrontrunners.github.io/routes/gpx/7702857-Mill-Creek.gpx,https://connect.garmin.com/app/course/439241954,,
7693471,Meadowbrook Park,Meet at 91st,Meadowbrook Park,,Meet at 91st,Meadowbrook Park: 91st,4.6368,sunday,7693471-Meadowbrook-Park.gpx,https://kcfrontrunners.github.io/routes/gpx/7693471-Meadowbrook-Park.gpx,https://connect.garmin.com/app/course/439241974,,
7692630,Loose Park,"South on Summit to Meyer, then east to Morningside, then north on Morningside to Grand to the Trolley Trail south to 51st St., then west back to Loose Park.",Loose Park,,"South on Summit to Meyer, then east to Morningside, then north on Morningside to Grand to the Trolley Trail south to 51st St., then west back to Loose Park.","Loose Park: on Summit, Meyer, Morningside",4.5223,loose_park,7692630-Loose-Park.gpx,https://kcfrontrunners.github.io/routes/gpx/7692630-Loose-Park.gpx,https://connect.garmin.com/app/course/439241994,,
